ean - SupabaseID + Shopify ID,∞ Shopify Id,prix_achat,produit_en_ligne_nom_du_produit,produit_en_ligne_ddm,produit_en_ligne_stock_actuel,produit_en_ligne_prix_public,produit_en_ligne_rayon,produit_en_ligne_prix_vente,produit_en_ligne_sous_rayon,produit_en_ligne_categorie,quantite_vendue,Date première vente visible
8713576162059 - Terrasana - Tubi's Réglisse sucré - 100g - 7267 - 9106529190215,9106529190215,€0.96,Tubi's Réglisse sucré - 100g,15/5/2025,11,€3.20,Épicerie sucrée,€2.72,Chocolat et confiseries,Confiseries et chewing-gum,65,2024-06-01 09:55
3760308960112 - Biodyssée - Thé glacé au citron bio - 33cl - 7223 - 9106529255751,9106529255751,€0.69,Thé glacé au citron bio - 33cl,7/8/2025,49,€2.30,Boissons,€1.84,Sirop/thés glacés/sodas,Thés et infusions glacées,43,2024-05-05 10:52
4018874041032 - Aries - Insecticide tous insectes action foudroyante - 200ml - 6959 - 9106529288519,9106529288519,€4.95,Insecticide tous insectes action foudroyante - 200ml,30/4/2028,15,€14.65,Hygiène et santé,€10.26,Accessoires ménagers,Insecticides,14,2024-07-17 22:47
3365620161119 - Jacques Gonidec - Thon Albacore au naturel - 160g - 7248 - 9109790884167,9109790884167,€1.70,Thon Albacore au naturel - 160g,27/4/2027,55,€5.65,Épicerie salée,€4.52,Conserves/bocaux et plats cuisinés,Produits de la mer,92,2024-04-19 15:45
3582810364925 - Les Jardins De Gaïa - Thé vert gunpowder bio - 100g - 7241 - 9109790949703,9109790949703,€2.28,Thé vert gunpowder bio - 100g,30/12/2026,25,€7.60,Boissons,€6.08,Boissons chaudes,Thés et matés,18,2024-09-01 16:29
3582811768524 - Les Jardins De Gaïa - Thé vert citron bio - 100g - 7234 - 9109791015239,9109791015239,€2.34,Thé vert citron bio - 100g,31/1/2026,18,€7.80,Boissons,€6.24,Boissons chaudes,Thés et matés,19,2024-09-05 12:04
3700931400357 - Mon Petit Lait de Soja - Shampooing douche peau sensible au sapin blanc bio - 250ml - 7175 - 9109791179079,9109791179079,€1.26,Shampooing douche peau sensible au sapin blanc bio - 250ml,,28,€5.81,Hygiène et santé,€4.36,Corps,Gels douche et savons liquides,13,2025-02-18 10:54
3700749307015 - Tensai Tea - Thé noir au gingembre bio - 33cl - 7227 - 9109791244615,9109791244615,€0.70,Thé noir au gingembre bio - 33cl,20/12/2025,40,€2.32,Boissons,€1.86,Sirop/thés glacés/sodas,Thés et infusions glacées,66,2024-05-01 17:42
4021457648474 - Lavera - Gel douche Basis Sensitiv 2 en 1 corps et cheveux bio - 250ml - 6908 - 9109791736135,9109791736135,€1.92,Gel douche Basis Sensitiv 2 en 1 corps et cheveux bio - 250ml,31/1/2026,82,€6.40,Hygiène et santé,€4.80,Corps,Gels douche et savons liquides,20,2025-02-08 09:34
3760308960075 - Biodyssée - Thé glacé pêche bio - 50cl - 7226 - 9109791834439,9109791834439,€0.56,Thé glacé pêche bio - 50cl,8/12/2025,72,€1.87,Boissons,€1.22,Sirop/thés glacés/sodas,Thés et infusions glacées,123,2024-05-05 10:52
3760260950121 - Brasserie de la Lune - Bière blonde lager bio - 75cl - 5615 - 9109792063815,9109792063815,€2.13,Bière blonde lager bio - 75cl,31/1/2026,68,€7.10,Boissons,€6.39,Boissons alcoolisées,Bières,10,2024-06-14 11:23
3760308960099 - Biodyssée - Thé glacé pêche bio - 33cl - 7225 - 9109792129351,9109792129351,€0.69,Thé glacé pêche bio - 33cl,7/8/2025,60,€2.30,Boissons,€1.61,Sirop/thés glacés/sodas,Thés et infusions glacées,58,2024-05-30 19:10
3770015411050 - Mutyne - Spray anticalcaire cuisine et bain - 750ml - 7194 - 9109792424263,9109792424263,€1.38,Spray anticalcaire cuisine et bain - 750ml,,2,€4.59,Maison,€4.13,Entretien et ménage,Nettoyants surface et sol,78,2024-10-31 23:24
3760308960143 - Biodyssée - Thé glacé au citron bio - 1l - 7222 - 9109792620871,9109792620871,€0.99,Thé glacé au citron bio - 1l,16/3/2025,117,€3.30,Boissons,€1.65,Sirop/thés glacés/sodas,Thés et infusions glacées,256,2024-08-02 14:10
3760052230820 - Karine & Jeff - Soupe fraîche de tomate et concombre à la menthe bio - 250ml - 7192 - 9109792751943,9109792751943,€1.28,Soupe fraîche de tomate et concombre à la menthe bio - 250ml,31/5/2026,16,€4.28,Épicerie salée,€3.64,Conserves/bocaux et plats cuisinés,Soupes,38,2024-04-08 13:08
3760052230806 - Karine & Jeff - Gaspacho bio - 25cl - 6905 - 9109792784711,9109792784711,€1.39,Gaspacho bio - 25cl,30/9/2026,59,€4.62,Épicerie salée,€3.70,Conserves/bocaux et plats cuisinés,Soupes et veloutés,46,2024-04-29 15:03
3760308960334 - Biodyssée - Romarin en flocon bio - 25g - 7133 - 9109793046855,9109793046855,€0.47,Romarin en flocon bio - 25g,,208,€1.85,Épicerie salée,€1.39,Épices et condiments,Épices et aromates,77,2024-09-08 14:06
3335880007922 - Prosain - Pur jus 5 superfruits bio - 50cl - 7102 - 9109793276231,9109793276231,€2.36,Pur jus 5 superfruits bio - 50cl,12/7/2026,55,€7.85,Boissons,€6.28,Jus et boissons végétales,Jus de fruits,20,2024-05-01 17:42
3770006357084 - Caliquo - Brosse à dents bio plastique rechargeable vert medium - 5637 - 9109794292039,9109794292039,€0.89,Brosse à dents bio plastique rechargeable vert medium,,30,€2.95,Hygiène et santé,€1.77,Dentaire,Brosses à dent,35,2024-09-08 14:06
4018874011592 - Aries - Baume famille répulsif cutané bio - 50ml - 5612 - 9114281148743,9114281148743,€4.05,Baume famille répulsif cutané bio - 50ml,28/3/2025,84,€13.50,Maison,€6.75,Accessoires ménagers,Parapharmacie,38,2024-06-03 11:25
3760308961539 - Biodyssée - Cristaux de sel des Pyrénées bio - 500g - 6849 - 9114281279815,9114281279815,€0.99,Cristaux de sel des Pyrénées bio - 500g,31/12/2033,40,€3.30,Épicerie salée,€2.64,Épices et condiments,Épices et aromates,107,2024-04-01 23:33
3770015013964 - Biodyssée - Clou de girofle entier au moulin bio - 35g - 5671 - 9114281476423,9114281476423,€1.02,Clou de girofle entier au moulin bio - 35g,1/6/2025,42,€3.40,Épicerie salée,€2.38,Épices et condiments,Épices et aromates,46,2024-04-03 18:03
3760308961041 - Biodyssée - Thé vert Genmaicha du Japon bio - 1kg - 7240 - 9114281967943,9114281967943,€14.91,Thé vert Genmaicha du Japon bio - 1kg,30/9/2026,21,€51.90,Boissons,€33.74,Boissons chaudes,Thés et matés,19,2024-09-08 15:51
3770015013223 - Biodyssée - Infusettes de thé noir earl grey de Ceylan bio - x20 - 6934 - 9114282393927,9114282393927,€0.90,Infusettes de thé noir earl grey de Ceylan bio - x20,31/1/2026,107,€3.00,Boissons,€2.55,Boissons chaudes,Thés et matés,76,2024-04-10 19:24
3274490970458 - Meneau - Sirop au fruit de la passion bio - 50cl - 7176 - 9114282918215,9114282918215,€2.10,Sirop au fruit de la passion bio - 50cl,31/7/2026,12,€7.00,Boissons,€5.25,Sirop/thés glacés/sodas,Sirops,85,2024-03-22 11:48
3274490971097 - Meneau - Sirop de pamplemousse bio - 50cl - 7185 - 9114283114823,9114283114823,€2.28,Sirop de pamplemousse bio - 50cl,25/5/2026,60,€7.60,Boissons,€5.32,Sirop/thés glacés/sodas,Sirops,31,2024-04-17 13:22
3274490970229 - Meneau - Sirop de citron bio - 50cl - 7180 - 9114283180359,9114283180359,€2.07,Sirop de citron bio - 50cl,12/10/2026,66,€6.90,Boissons,€5.18,Sirop/thés glacés/sodas,Sirops,28,2024-03-29 15:37
3274490972360 - Meneau - Sirop de menthe glaciale bio - 50cl - 7183 - 9114283311431,9114283311431,€2.10,Sirop de menthe glaciale bio - 50cl,17/8/2026,66,€7.00,Boissons,€4.90,Sirop/thés glacés/sodas,Sirops,47,2024-05-05 19:35
3274490971042 - Meneau - Sirop de cola bio - 50cl - 7181 - 9114283344199,9114283344199,€2.07,Sirop de cola bio - 50cl,28/2/2027,40,€6.90,Boissons,€5.18,Sirop/thés glacés/sodas,Sirops,76,2024-03-22 11:48
"3489940049213 - Cosmo Naturel - Shampoing antipelliculaire cade, sauge et rhassoul bio - 500ml - 7162 - 9114283442503",9114283442503,€3.15,"Shampoing antipelliculaire cade, sauge et rhassoul bio - 500ml",,33,€10.50,Hygiène et santé,€9.45,Cheveux,Shampoings liquides,41,2024-06-05 22:16
3274490970281 - Meneau - Sirop d'anis bio - 50cl - 7177 - 9114283508039,9114283508039,€2.28,Sirop d'anis bio - 50cl,18/10/2025,5,€7.60,Boissons,€6.46,Sirop/thés glacés/sodas,Sirops,15,2024-03-22 11:48
3274490970250 - Meneau - Sirop d'hibiscus bio - 50cl - 7178 - 9114283704647,9114283704647,€2.70,Sirop d'hibiscus bio - 50cl,2/8/2026,103,€9.00,Boissons,€6.30,Sirop/thés glacés/sodas,Sirops,61,2024-03-22 11:48
3464660002496 - Pur Aloe - Jus à boire aloe vera bio - 50cl - 6960 - 9114284491079,9114284491079,€3.44,Jus à boire aloe vera bio - 50cl,31/1/2027,15,€11.48,Hygiène et santé,€9.18,Santé,Compléments alimentaires,14,2025-02-05 21:37
3515457239936 - BioConseils - Infusion circulation bio - 20 sachets - 6944 - 9114284556615,9114284556615,€1.47,Infusion circulation bio - 20 sachets,25/8/2025,8,€4.90,Boissons,€3.43,Boissons chaudes,Infusions et tisanes,50,2024-07-18 17:40
3380380068157 - Douce Nature - Pompe gel douche pour flacon 1L - x1 - 7082 - 9114285343047,9114285343047,€0.45,Pompe gel douche pour flacon 1L - x1,,113,€1.50,Hygiène et santé,€0.68,Corps,DIY,26,2024-09-19 10:12
4018874010595 - Aries - Fluide anti-moustique répulsif cutané bio - 30ml - 6895 - 9114285605191,9114285605191,€3.18,Fluide anti-moustique répulsif cutané bio - 30ml,31/3/2025,54,€10.60,Maison,€5.30,Accessoires ménagers,Parapharmacie,29,2024-05-18 19:10
4018874023106 - Aries - Pièges pour mites alimentaires - x3 - 7073 - 9114285670727,9114285670727,,Pièges pour mites alimentaires - x3,31/10/2025,0,€6.47,Maison,€5.82,Accessoires ménagers,Insecticides,42,2024-09-08 11:50
3088549553789 - Terre de Miel - Miel de montagne bio - 500g - 7003 - 9115204026695,9115204026695,€5.99,Miel de montagne bio - 500g,1/2/2026,120,€19.95,Épicerie sucrée,€14.96,Pâtes à tartiner / Miels / Confitures,Miels et sirops,26,2024-09-11 10:17
3088549252057 - Terre de Miel - Miel de Provence bio - 250g - 7004 - 9115204092231,9115204092231,€4.01,Miel de Provence bio - 250g,8/2/2026,4,€13.35,Épicerie sucrée,€10.68,Pâtes à tartiner / Miels / Confitures,Miels et sirops,39,2024-09-11 10:17
4260378042231 - Khadi - Huile capillaire ayurvédique Vitality Grow - 50ml - 6926 - 9115204649287,9115204649287,€4.47,Huile capillaire ayurvédique Vitality Grow - 50ml,31/1/2099,12,€14.50,Hygiène et santé,€10.88,Cheveux,Masques et soins,35,2024-07-18 00:23
4021457638826 - Lavera - Déodorant roll-on Natural & Refresh bio - 50ml - 6869 - 9115204747591,9115204747591,€2.09,Déodorant roll-on Natural & Refresh bio - 50ml,31/3/2026,21,€6.95,Hygiène et santé,€5.91,Corps,Déodorants,32,2025-01-02 11:19
3760260950923 - Brasserie de la Lune - Bière IPA Ipanapi bio - 75cl  - 5617 - 9115204878663,9115204878663,€2.13,Bière IPA Ipanapi bio - 75cl ,11/5/2025,44,€7.10,Boissons,€6.39,Boissons alcoolisées,Bières,26,2024-09-19 20:26
4021457637560 - Lavera - Lait corps raffermissant basis sensitiv bio - 250ml - 6969 - 9115205108039,9115205108039,€3.99,Lait corps raffermissant basis sensitiv bio - 250ml,31/12/2024,14,€11.70,Hygiène et santé,€5.85,Corps,Crèmes/ soins/ exfoliants,50,2024-07-17 22:47
4021457655335 - Lavera - Après-shampoing réparateur expert et soin profond bio - 200ml - 5601 - 9115205173575,9115205173575,€2.41,Après-shampoing réparateur expert et soin profond bio - 200ml,31/3/2026,27,€8.02,Hygiène et santé,€6.82,Cheveux,Masques et soins,19,2024-04-17 13:22
3760164640111 - Jean de Luz - Filets de thon germon à l'huile d'olive bio - 380g - 6891 - 9115205337415,9115205337415,,Filets de thon germon à l'huile d'olive bio - 380g,9/5/2027,0,€15.40,Épicerie salée,€10.01,Conserves/bocaux et plats cuisinés,Produits de la mer,39,2024-04-07 09:46
3760001762372 - Tidoo - Couches T2 S 3 à 6kg bio - x31 - 6842 - 9115205861703,9115205861703,€3.59,Couches T2 S 3 à 6kg bio - x31,,3,€11.95,Bébé,€8.96,Hygiène bébé,Couches et changes,13,2024-06-03 11:25
4260378043184 - Khadi - Huile capillaire ayurvédique Color Care - 50ml - 6925 - 9115206254919,9115206254919,€4.47,Huile capillaire ayurvédique Color Care - 50ml,31/10/2025,18,€14.90,Hygiène et santé,€9.69,Cheveux,Masques et soins,19,2024-09-18 21:24
4017645043060 - Logona - Fluide hydratant à l'aloe vera bio - 30ml - 6896 - 9115206385991,9115206385991,€4.79,Fluide hydratant à l'aloe vera bio - 30ml,28/2/2025,20,€15.95,Hygiène et santé,€7.97,Visage,Crèmes et soins visage,53,2024-07-22 20:17
3770021034298 - HOPE - Nettoyant vitres et multi-surfaces menthe bio - 500ml - 7034 - 9115206517063,9115206517063,€1.80,Nettoyant vitres et multi-surfaces menthe bio - 500ml,,158,€5.99,Maison,€5.09,Entretien et ménage,Nettoyants surface et sol,20,2024-09-04 14:39
3417960033028 - Cook - Eau de rose pour pâtisserie bio - 50ml - 6875 - 9115206746439,9115206746439,€1.37,Eau de rose pour pâtisserie bio - 50ml,30/6/2026,64,€4.56,Épicerie sucrée,€4.10,Pâtisserie,Arômes / Colorants / Aides à pâtisserie,20,2024-05-25 19:52
3363795000011 - Thés de la Pagode - Tisane Empire des songes bio - x18 - 7253 - 9115206779207,9115206779207,€2.97,Tisane Empire des songes bio - x18,31/5/2024,1,€9.90,Boissons,€4.95,Boissons chaudes,Infusions et tisanes,51,2024-11-26 20:47
3760001768299 - Tidoo - Crème lavante et nourrissante à l'extrait de lin bio - 200ml - 6847 - 9115206877511,9115206877511,€1.77,Crème lavante et nourrissante à l'extrait de lin bio - 200ml,,53,€5.89,Bébé,€2.95,Hygiène bébé,Couches et changes,16,2024-07-18 19:27
3770013342127 - My boo company  - Brosse à dent adulte en bambou infusée au charbon - souple - 5633 - 9115207008583,9115207008583,€1.43,Brosse à dent adulte en bambou infusée au charbon - souple,,13,€5.00,Hygiène et santé,€4.00,Dentaire,Brosses à dent,50,2024-09-11 11:06
3770007341686 - Les 3 Chouettes - Vinaigre balsamique de pommes bio - 25cl - 7272 - 9115207500103,9115207500103,€2.36,Vinaigre balsamique de pommes bio - 25cl,25/8/2025,68,€7.86,Épicerie salée,€5.50,Huiles et vinaigres,Vinaigres,20,2024-04-03 18:03
3291960013415 - Emma Noël - Gel douche au monoï bio - 1L - 6907 - 9115207860551,9115207860551,€4.52,Gel douche au monoï bio - 1L,,101,€15.06,Hygiène et santé,€12.05,Corps,Gels douche et savons liquides,29,2024-05-07 17:12
3770007341587 - Les 3 Chouettes - Moutarde nature bio - 190g - 7026 - 9115208057159,9115208057159,€1.68,Moutarde nature bio - 190g,1/12/2024,34,€5.60,Épicerie salée,€2.80,Sauces,Ketchup/ mayonnaises/ moutardes,291,2024-04-10 15:20
4017645043190 - Logona - Mousse nettoyante menthe et acide salicylique bio - 100ml - 7018 - 9115393524039,9115393524039,€4.19,Mousse nettoyante menthe et acide salicylique bio - 100ml,31/7/2025,31,€13.95,Hygiène et santé,€7.67,Visage,Nettoyants et démaquillants,23,2025-02-12 14:08
3700971800124 - Felichef - Croquettes pour chat adulte bio - 2kg - 6850 - 9115393753415,9115393753415,€8.21,Croquettes pour chat adulte bio - 2kg,8/5/2025,10,€27.36,Maison,€24.62,Animaux,Chat,1,2025-03-11 22:28
3383482301108 - Briochin - Recharge de savon main au miel et citron bio - 400ml - 7119 - 9115838447943,9115838447943,€1.17,Recharge de savon main au miel et citron bio - 400ml,,66,€7.15,Hygiène et santé,€4.29,Corps,Mains et pieds,94,2025-01-19 12:04
8711200459995 - Amora - Vinaigrette légère à la moutarde - 380ml - 7275 - 9115838873927,9115838873927,€0.77,Vinaigrette légère à la moutarde - 380ml,22/3/2025,72,€2.49,Épicerie salée,€1.25,Huiles et vinaigres,Vinaigrettes,145,2025-02-27 14:36
3760345483162 - The Green Emporium - Pain de rasage à l'aloe vera - 85ml - 7057 - 9121070448967,9121070448967,€1.87,Pain de rasage à l'aloe vera - 85ml,,3,€8.89,Hygiène et santé,€5.78,Visage,Soins masculins,25,2024-07-17 18:05
3760325483397 - Omie - Soupe courgette basilic bio - 750g - 7190 - 9125515362631,9125515362631,,Soupe courgette basilic bio - 750g,7/11/2025,0,€6.10,Épicerie salée,€3.97,Conserves/bocaux et plats cuisinés,Soupes et veloutés,62,2024-04-10 13:44
3760325482086 - Omie - Purée pommes pruneau bio - 660g - 7111 - 9125515657543,9125515657543,,Purée pommes pruneau bio - 660g,1/12/2024,0,€5.70,Épicerie sucrée,€2.85,Compotes et desserts,Compotes,109,2024-04-06 10:39
3760325480150 - Omie - Moutarde forte de Dijon bio - 200g - 7024 - 9125515919687,9125515919687,,Moutarde forte de Dijon bio - 200g,31/12/2024,0,€3.89,Épicerie salée,€1.95,Sauces,Ketchup/ mayonnaises/ moutardes,398,2024-04-10 14:24
4000539646904 - Lindt - Poussin bleu - 100g - 7088 - 9128034402631,9128034402631,€1.25,Poussin bleu - 100g,31/8/2025,10,€3.99,Épicerie sucrée,€2.59,Chocolat et confiseries,Ballotins et coffrets,113,2025-04-04 11:04
3700931400364 - Mon Carré Nat - Mon Petit Lait de Soja Shampoing douche au kiwi et à la mûre pour peau sensible - 250 ml - 7013 - 9129553363271,9129553363271,€1.26,Mon Petit Lait de Soja Shampoing douche au kiwi et à la mûre pour peau sensible - 250 ml,,5,€5.90,Hygiène et santé,€3.54,Corps,Shampoings liquides,12,2024-08-29 19:25
5200120443342 - Rizes Greece - Tartinade de tomates séchées au soleil - 200g - 7215 - 9162300621127,9162300621127,€1.04,Tartinade de tomates séchées au soleil - 200g,17/2/2026,428,€3.99,Épicerie salée,€3.19,Apéritifs,Tartinades,34,2024-04-27 10:38
5200120443786 - Rizes Greece - Tomates séchées aux épices - 190g - 7263 - 9162300752199,9162300752199,€1.04,Tomates séchées aux épices - 190g,5/10/2025,415,€3.99,Épicerie salée,€3.19,Apéritifs,Olives et antipasti,19,2024-05-01 17:42
5200120443335 - Rizes Greece - Tartinade de poivrons rouges - 200g - 7214 - 9162300784967,9162300784967,€1.04,Tartinade de poivrons rouges - 200g,6/10/2025,264,€3.99,Épicerie salée,€3.19,Apéritifs,Tartinades,49,2024-04-27 10:38
5200120443205 - Rizes Greece - Olives vertes à l'ail - 350g - 7044 - 9162300817735,9162300817735,€1.04,Olives vertes à l'ail - 350g,3/2/2026,314,€3.99,Épicerie salée,€3.19,Apéritifs,Olives et antipasti,20,2024-04-24 09:15
5200120443311 - Rizes Greece - Tartinade d'olives kalamon - 200g - 7212 - 9162300948807,9162300948807,€1.04,Tartinade d'olives kalamon - 200g,5/10/2025,341,€3.99,Épicerie salée,€3.19,Apéritifs,Tartinades,26,2024-04-27 10:38
5200120443328 - Rizes Greece - Tartinade d'olives vertes - 200g - 7213 - 9162301342023,9162301342023,€1.04,Tartinade d'olives vertes - 200g,5/10/2025,439,€3.99,Épicerie salée,€3.19,Apéritifs,Tartinades,27,2024-04-27 10:38
5200120443168 - Rizes Greece - Olives Kalamon dénoyautées - 340g - 7041 - 9162301407559,9162301407559,€1.04,Olives Kalamon dénoyautées - 340g,18/9/2027,286,€3.99,Épicerie salée,€3.19,Apéritifs,Olives et antipasti,35,2024-04-29 10:44
3760087787764 - Le Borvo - Matelote d'Esturgeon d'Aquitaine - 350g - 6996 - 9162301571399,9162301571399,€2.88,Matelote d'Esturgeon d'Aquitaine - 350g,21/10/2024,35,€11.50,Épicerie salée,€5.75,Conserves/bocaux et plats cuisinés,Produits de la mer,56,2024-06-19 19:15
3760087789133 - Le Borvo - Pâté de porc à l'ancienne au Chablis - 90g - 7063 - 9162301604167,9162301604167,€0.86,Pâté de porc à l'ancienne au Chablis - 90g,6/11/2025,120,€3.30,Épicerie salée,€2.64,Apéritifs,Tartinades,17,2024-04-28 10:19
3760087787771 - Le Borvo - Pôchouse d'Esturgeon - 350g - 7075 - 9162301768007,9162301768007,€2.88,Pôchouse d'Esturgeon - 350g,21/10/2024,155,€11.50,Épicerie salée,€5.75,Conserves/bocaux et plats cuisinés,Produits de la mer,37,2024-09-04 14:39
8056157261254 - Orominerva - Poivrons à l'huile - 210g - 7080 - 9176676925767,9176676925767,€2.38,Poivrons à l'huile - 210g,30/9/2024,87,€9.50,Épicerie salée,€4.75,Conserves/bocaux et plats cuisinés,Légumes,19,2025-01-23 18:49
3274490971141 - Meneau - Sirop de thé vert à la pêche bio - 50cl - 7186 - 9187240247623,9187240247623,€2.48,Sirop de thé vert à la pêche bio - 50cl,24/8/2024,29,€9.20,Boissons,€4.60,Sirop/thés glacés/sodas,Sirops,78,2024-05-19 18:04
3760325481492 - Omie - Feuilles entières de laurier de Provence bio - 20g - 6883 - 9188097425735,9188097425735,€1.01,Feuilles entières de laurier de Provence bio - 20g,31/12/2027,266,€4.20,Épicerie salée,€2.52,Épices et condiments,Épices et aromates,74,2024-07-05 23:51
3770014111661 - PourDemain - Purée de pommes bio - 825g - 6674 - 9206427713863,9206427713863,€1.15,Purée de pommes bio - 825g,19/11/2025,166,€4.05,Épicerie sucrée,€3.24,Compotes et desserts,Compotes,365,2024-05-15 11:13
3770014111746 - Transition - Velouté de potimarron - 730ml - 6693 - 9206427779399,9206427779399,€0.99,Velouté de potimarron - 730ml,28/2/2026,26,€3.94,Épicerie salée,€2.56,Conserves/bocaux et plats cuisinés,Soupes et veloutés,223,2024-05-15 11:13
3770014111753 - Transition - Velouté de carottes - 730ml - 6692 - 9206427877703,9206427877703,€0.96,Velouté de carottes - 730ml,28/12/2026,31,€3.82,Épicerie salée,€3.25,Conserves/bocaux et plats cuisinés,Soupes et veloutés,108,2024-05-22 09:39
3382562107449 - Ducs de Gascogne - Terrine de campagne  - 280g - 6689 - 9206428008775,9206428008775,€3.49,Terrine de campagne  - 280g,30/7/2026,29,€13.95,Épicerie salée,€8.37,Apéritifs,Tartinades,35,2024-09-05 12:04
3567730700244 - Dermaclay - Huile sèche multi-usage sublime bio - 50ml - 6697 - 9208053891399,9208053891399,€3.99,Huile sèche multi-usage sublime bio - 50ml,20/4/2025,5,€18.95,Hygiène et santé,€9.47,Corps,Crèmes/ soins/ exfoliants,6,2025-02-15 22:23
3760308961034 - Biodyssée - Gingembre moulu bio - 40g - 6704 - 9210247086407,9210247086407,€0.59,Gingembre moulu bio - 40g,31/5/2025,17,€1.95,Épicerie salée,€1.27,Épices et condiments,Épices et aromates,122,2024-06-05 08:41
3760325480358 - Omie - Thé noir 4 agrumes du Paralai vrac bio - 100g - 6754 - 9217017610567,9217017610567,€1.65,Thé noir 4 agrumes du Paralai vrac bio - 100g,31/12/2025,94,€6.87,Boissons,€3.78,Boissons chaudes,Thés et matés,79,2024-07-22 20:17
3760325484240 - Omie - Purée piment vert bio - 85g - 6747 - 9217017839943,9217017839943,€0.91,Purée piment vert bio - 85g,6/7/2025,22,€3.80,Épicerie salée,€1.90,Épices et condiments,Cornichons/ pickles/ câpres,169,2024-08-04 10:49
3760311310041 - Lamazuna - Oriculi en bioplastique rouge - 6741 - 9217018331463,9217018331463,€0.68,Oriculi en bioplastique rouge,,117,€4.50,Hygiène et santé,€2.25,Visage,Cotons et coton-tiges,26,2025-02-12 21:15
3760061225282 - Najel - Savon d'Alep liquide à l'huile de figues de Barbarie - 500ml - 6786 - 9220135027015,9220135027015,€2.46,Savon d'Alep liquide à l'huile de figues de Barbarie - 500ml,2/2/2027,42,€12.30,Hygiène et santé,€6.15,Corps,Gels douche et savons liquides,43,2024-07-17 23:43
3662217011926 - Avril - Correcteur Café bio - 4g - 6766 - 9220135059783,9220135059783,€2.00,Correcteur Café bio - 4g,1/10/2024,18,€8.00,Hygiène et santé,€3.20,Corps,Crèmes et soins visage,1,2025-03-23 20:49
3760061226050 - Najel - Savon d'alep liquide à l'huile de laurier bio - 1L - 6787 - 9220135354695,9220135354695,€3.50,Savon d'alep liquide à l'huile de laurier bio - 1L,19/2/2027,23,€17.00,Hygiène et santé,€10.20,Corps,Gels douche et savons liquides,68,2024-07-04 15:20
3760061223349 - Najel - Dentifrice solide au charbon à la menthe bio - 33g - 6770 - 9220135551303,9220135551303,€2.00,Dentifrice solide au charbon à la menthe bio - 33g,10/1/2027,20,€9.99,Hygiène et santé,€5.00,Dentaire,Dentifrices,44,2024-07-17 14:17
3760061222663 - Beroia - Sels de la mer Morte - 180g - 6788 - 9220135584071,9220135584071,€1.60,Sels de la mer Morte - 180g,,85,€10.30,Hygiène et santé,€5.67,Corps,Crèmes/ soins/ exfoliants,20,2024-07-18 17:40
3770026145029 - Osmoz - Osmoz Digestion - 60 gélules - 6799 - 9225580904775,9225580904775,€4.98,Osmoz Digestion - 60 gélules,30/9/2024,4,€19.90,Hygiène et santé,€9.95,Santé,Compléments alimentaires,1,2025-02-17 13:29
3538395314305 - Etamine du Lys - Assouplissant hypoallergénique à la camomille - 2L - 6825 - 9241111888199,9241111888199,€3.90,Assouplissant hypoallergénique à la camomille - 2L,,74,€13.01,Maison,€9.11,Linge,Assouplissants,22,2024-09-11 17:48
3701352104213 - DYP Cosmethic - Rouge à lèvres rouge orangé - 7320 - 9260072173895,9260072173895,€2.48,Rouge à lèvres rouge orangé,,10,€9.90,Hygiène et santé,€5.94,Corps,Maquillage et parfums,5,2025-02-04 23:27
3701352116537 - DYP Cosmethic - Vernis à ongles marine - 7331 - 9260072501575,9260072501575,€1.48,Vernis à ongles marine,,8,€5.90,Hygiène et santé,€3.54,Corps,Maquillage et parfums,7,2025-02-17 12:29
3701352104954 - DYP Cosmethic - Correcteur safran - 7294 - 9260072730951,9260072730951,€2.48,Correcteur safran,,2,€9.90,Hygiène et santé,€5.94,Corps,Maquillage et parfums,11,2024-11-29 12:02
3701352101120 - DYP Cosmethic - Duo Fards à paupières brun taupe et noir profond - 7305 - 9260072829255,9260072829255,€2.48,Duo Fards à paupières brun taupe et noir profond,,11,€9.90,Hygiène et santé,€3.96,Corps,Maquillage et parfums,8,2025-03-09 20:38
3701352100413 - DYP Cosmethic - Encre à lèvres Bordeaux  - 7306 - 9260073156935,9260073156935,€2.48,Encre à lèvres Bordeaux ,,16,€9.90,Hygiène et santé,€5.94,Corps,Maquillage et parfums,6,2025-02-05 22:32
3701352104923 - DYP Cosmethic - Correcteur beige claire  - 7293 - 9260073189703,9260073189703,€2.48,Correcteur beige claire ,,10,€9.90,Hygiène et santé,€5.94,Corps,Maquillage et parfums,7,2025-02-21 18:22
3701352104176 - DYP Cosmethic - Rouge à lèvres Violine - 7319 - 9260073353543,9260073353543,€2.48,Rouge à lèvres Violine,,32,€9.90,Hygiène et santé,€5.45,Corps,Maquillage et parfums,11,2025-02-12 21:39
3701352116506 - DYP Cosmethic - Vernis à ongles Vermillon  - 7330 - 9260073484615,9260073484615,€1.48,Vernis à ongles Vermillon ,,1,€5.90,Hygiène et santé,€2.96,Corps,Maquillage et parfums,21,2024-09-02 20:49
3701352104220 - DYP Cosmethic - Rouge à lèvres Rouge vermillon - 7321 - 9260073550151,9260073550151,€2.48,Rouge à lèvres Rouge vermillon,,24,€9.90,Hygiène et santé,€4.95,Corps,Maquillage et parfums,19,2024-07-01 22:10
